Review_Text,Sentiment,Place_Name,Google_Rating
"Bugun beshbarmoqni o'zim bilan olib ketishga 2ta zakaz berdim. Zakazdan oldin menyuga qarasam narxi 75 000 ekan. Zakaz berishdan oldin Kassadagi hodimdan narxini so'rasam 80000 so'm dedi. Nega qimat etvossan menyuda 75000ku desam, - bugun o'zgardi osez olin deydi. Administratorini chaqirin 2 ta menudagi narxlarni ko'rsatsam, telefonidagi rasmdagi menyuni ko'rsatib hodimlar ulgurmabdi deydi. Unda nega hamma menyularda 75000 somligini isbotlab berib,  mijozlarga bitta narxni ko'rsatib, kassada boshqa narxni ko'rsatish qonunga hilofligini etqazganimdan keyin 75000dan hisoblab berib 2 ta besh barmoqga 4 idish yozib qo'shib di. Nega to'rta desam suyug'i bitta idishga quyug'i boshqa idishga dedi. Ho'p maylin deb qozon tepasiga borib 10 min kutib tursam, bir payt zakaziz tayyor deb 2ta idishda bervoti. Nega 4ta idish ezgan desam  sizga ishlatgan idish katta idish deydi. Ikkinchi bu dargoxga qadam bosmayman dedim. Insofsizlar menyuga bitta narx kassada boshqa narx urib beryapti. Cheki ber posudayam korsatilgan bo'lsin dedim. U erda 80000dan uribdi,  nega baribir bilganini qilding desam. Pul echgan chekizda 10000 kam urdim deydi. Pul echgan chekida nimaga qancha echganini ko'rsatmagan. Agar buyurtma qilingan narsalarni narxini korsatmagan chekni soramasa nimaga qancha to'tanganizni bilmay qolarkansiz. 2 ta berilmagan idishni haqini so'rab borishga hohishim ham qomadi, qattiq ranjidim. Bu holatni yaqinlarimga aytib bersam ular ham menyuda boshqa kassada qimmat narx bilan hisoblab berishganini aytishdi. Hech kimga bu joyga borishni tavsiya qilmayman.",1,Raixan,1
"Chilonzor S kvartilda joylashgan Rayhon milliy taomlari chilonzor filalida 22.02.26 sanada iftorlik uchun 3 ta dost birga ovqatlandik salat va ovqat buyurtma qildik MIJISKOY KAPRIZ salatidagi gosht yaxshi pishmagan 2 kishi ozroq istemol qildik bitta sherigimiz yoqmadi deb istemol qilmadi ogizda chaynagan vaqtda umuman chaynalmaydi osha kuni kechqrun ertalabgacha ich ogrigidan qiynaldik hech kimga shikoyat yoki etiroz bildirganim yoq shunchaki xatosini togirlashi va mendan keyingi mijozlar bunday muommoga uchramasligi uchun @rayhonmilliy.uz instagram akkauntiga lichkasiga yozib muommoni etib otdim menga Xikmatillo isimli bosh oshpaz qongiroq qilib bir kunda 150 aynan shu salatdan tayyorlashi va sotishini mendan bowqa hech kim shikoyat qilmaganligi va bunda ogir ovqatlarni yeganligim un ozim aybdor ekanligimni aytdi, afsus ular shu muommoga etibor berishi uchun aytgan edim ular bolsa ozimni aybdorga chiqardi bitta ozimda bolganda ham togri qabul qilish mumkin 2 kishida ham shunaqa ich ogrigi boldi, Rayhon milliy taomlar oilaviy boradigan joy asosan yosh bolalar va qariyalarda shunday holat kuzatilsa agar ancha ogir otadi. Masul hodimlardan jiddiy etibor qaratishini sorab qolamiz...",1,Raixan,1
"Ofitsiant chaqirsak ham qaramadi birinchi, ancha vaqtda keldi. Suyuq ovqat issiqmasidi atak atmosfera yaxshi ekan.",2,Raixan,2
"Ovqati shirin, mazali ekan, ayniqsa IceTea degan kompoti juda yoqdi. Ovqat tanlashga o'ylanayotganlar bo'lsa maslahatim ko'za shorvasini iching. Ta'mi og'zingizda qoladi. Xizmat ko'rsatishlari yaxshi, toza va pokiza. Kutib olishdan tortib kuzatib yuborishlari ham yaxshu. Ishchilarni kiyimiga ham alohida e'tibor qaratilgan ekan. Ofitsiantlar alohida kiyimda, yig'ishtiruvchilar alohida. Eng asosiysi asosiysi narxi ham qimmat emas. Ishlaringga omad!",5,Raixan,5
"Ovqati yaxshi lekin, xizmat va ofitsiantlarning muaomalasi nol. Ovqatni soboy solib bering desa idishni prosta tashab ketti. Keyin yana chaqirib soberasmi desam meni vazifammas dedi. Menejerdan so'rasam ofitsantni vazifasiga kiradi dedi lekin hech qanday chora ko'rilmadi. Unda Nima uchun xizmat haqqi olinadi?",1,Raixan,1
Ovqatlari yaxshi lekin kakletlarini shashlikni qiymasida qiladi kakletdan yisam shashlikni yiganday bo'laman muhit yaxshi sharoit va ovqatga tanlov zor😇,4,Raixan,4
"Shashlik buyurtma verdim va aytishim kerakki, buni yeyish imkonsiz edi.. Maza, tam umuman o'xshamagan ustiga ustak tuzsiz..
Ammo service va xizmatchilar ajoyib xushmuomala.",1,Raixan,1
"Ofitsiantla qaramidi, 5 marta chaqirdim, oxiri keldi, koza shorva zakaz qildi, zakazi olib 20 minutdan keyn svet ochgan yogakan ddi koza shorva , hop dib uygur lagmon etti, 25 minutlada mashi ovqatti opkeldi na tam bor na korinish, insofam kerede oddiy makaronni uygur lagmon db opkeberdi. Umuman qaytib kirmiman qatortoldegi filialiga.",1,Raixan,1
Райхон ошхонаси доставкаси жуда киммат экан расмда келтирган шашлик копи билан 400 гр гошт Хом холатида сарфланган + доставка 17000 ужас,1,Raixan,1
Dastavka tormoz tezro keladi dib ovqat zakaz qisam 1 yarim soatda obkevoti nol silaga ozi bita yulduzchayam uvol tez yetkazishmas ochdan tez o’ldirish sanla,1,Raixan,1
